N,Structure,Operation,Time
2000,Unsorted Array,Search,0.00000400
2000,Unsorted Array,Insert,0.00000000
2000,Unsorted Array,Delete,0.00000000
2000,Unsorted Array,Max,0.00000500
2000,Unsorted Array,Min,0.00000400
2000,Unsorted Array,Predecessor,0.00000500
2000,Unsorted Array,Successor,0.00000500
2000,Sorted Array,Search,0.00000000
2000,Sorted Array,Insert,0.00000400
2000,Sorted Array,Delete,0.00000800
2000,Sorted Array,Max,0.00000000
2000,Sorted Array,Min,0.00000000
2000,Sorted Array,Predecessor,0.00000000
2000,Sorted Array,Successor,0.00000000
2000,Singly Unsorted,Search,0.00000600
2000,Singly Unsorted,Insert,0.00000000
2000,Singly Unsorted,Delete,0.00001200
2000,Singly Unsorted,Max,0.00000400
2000,Singly Unsorted,Min,0.00000500
2000,Singly Unsorted,Predecessor,0.00000600
2000,Singly Unsorted,Successor,0.00000600
2000,Singly Sorted,Search,0.00000500
2000,Singly Sorted,Insert,0.00000400
2000,Singly Sorted,Delete,0.00000000
2000,Singly Sorted,Max,0.00000000
2000,Singly Sorted,Min,0.00000000
2000,Singly Sorted,Predecessor,0.00000000
2000,Singly Sorted,Successor,0.00000000
2000,Doubly Unsorted,Search,0.00000600
2000,Doubly Unsorted,Insert,0.00000000
2000,Doubly Unsorted,Delete,0.00000000
2000,Doubly Unsorted,Max,0.00000700
2000,Doubly Unsorted,Min,0.00000500
2000,Doubly Unsorted,Predecessor,0.00000700
2000,Doubly Unsorted,Successor,0.00000600
2000,Doubly Sorted,Search,0.00000600
2000,Doubly Sorted,Insert,0.00000500
2000,Doubly Sorted,Delete,0.00000000
2000,Doubly Sorted,Max,0.00000000
2000,Doubly Sorted,Min,0.00000000
2000,Doubly Sorted,Predecessor,0.00000000
2000,Doubly Sorted,Successor,0.00000000
4000,Unsorted Array,Search,0.00000700
4000,Unsorted Array,Insert,0.00000000
4000,Unsorted Array,Delete,0.00000000
4000,Unsorted Array,Max,0.00000900
4000,Unsorted Array,Min,0.00000800
4000,Unsorted Array,Predecessor,0.00001000
4000,Unsorted Array,Successor,0.00000900
4000,Sorted Array,Search,0.00000000
4000,Sorted Array,Insert,0.00000800
4000,Sorted Array,Delete,0.00001600
4000,Sorted Array,Max,0.00000000
4000,Sorted Array,Min,0.00000000
4000,Sorted Array,Predecessor,0.00000000
4000,Sorted Array,Successor,0.00000000
4000,Singly Unsorted,Search,0.00001000
4000,Singly Unsorted,Insert,0.00000000
4000,Singly Unsorted,Delete,0.00001800
4000,Singly Unsorted,Max,0.00001000
4000,Singly Unsorted,Min,0.00001100
4000,Singly Unsorted,Predecessor,0.00001000
4000,Singly Unsorted,Successor,0.00001100
4000,Singly Sorted,Search,0.00001200
4000,Singly Sorted,Insert,0.00000800
4000,Singly Sorted,Delete,0.00000500
4000,Singly Sorted,Max,0.00000000
4000,Singly Sorted,Min,0.00000000
4000,Singly Sorted,Predecessor,0.00000300
4000,Singly Sorted,Successor,0.00000000
4000,Doubly Unsorted,Search,0.00001200
4000,Doubly Unsorted,Insert,0.00000000
4000,Doubly Unsorted,Delete,0.00000000
4000,Doubly Unsorted,Max,0.00001100
4000,Doubly Unsorted,Min,0.00001200
4000,Doubly Unsorted,Predecessor,0.00001300
4000,Doubly Unsorted,Successor,0.00001300
4000,Doubly Sorted,Search,0.00001200
4000,Doubly Sorted,Insert,0.00001000
4000,Doubly Sorted,Delete,0.00000000
4000,Doubly Sorted,Max,0.00000000
4000,Doubly Sorted,Min,0.00000000
4000,Doubly Sorted,Predecessor,0.00000000
4000,Doubly Sorted,Successor,0.00000000
6000,Unsorted Array,Search,0.00001100
6000,Unsorted Array,Insert,0.00000000
6000,Unsorted Array,Delete,0.00000000
6000,Unsorted Array,Max,0.00001700
6000,Unsorted Array,Min,0.00001200
6000,Unsorted Array,Predecessor,0.00001500
6000,Unsorted Array,Successor,0.00001300
6000,Sorted Array,Search,0.00000000
6000,Sorted Array,Insert,0.00001500
6000,Sorted Array,Delete,0.00002600
6000,Sorted Array,Max,0.00000000
6000,Sorted Array,Min,0.00000000
6000,Sorted Array,Predecessor,0.00000000
6000,Sorted Array,Successor,0.00000000
6000,Singly Unsorted,Search,0.00001400
6000,Singly Unsorted,Insert,0.00000000
6000,Singly Unsorted,Delete,0.00002800
6000,Singly Unsorted,Max,0.00001300
6000,Singly Unsorted,Min,0.00001700
6000,Singly Unsorted,Predecessor,0.00001500
6000,Singly Unsorted,Successor,0.00001800
6000,Singly Sorted,Search,0.00001700
6000,Singly Sorted,Insert,0.00001500
6000,Singly Sorted,Delete,0.00001000
6000,Singly Sorted,Max,0.00000000
6000,Singly Sorted,Min,0.00000000
6000,Singly Sorted,Predecessor,0.00000600
6000,Singly Sorted,Successor,0.00000000
6000,Doubly Unsorted,Search,0.00002000
6000,Doubly Unsorted,Insert,0.00000000
6000,Doubly Unsorted,Delete,0.00000000
6000,Doubly Unsorted,Max,0.00001700
6000,Doubly Unsorted,Min,0.00002000
6000,Doubly Unsorted,Predecessor,0.00002000
6000,Doubly Unsorted,Successor,0.00001800
6000,Doubly Sorted,Search,0.00001900
6000,Doubly Sorted,Insert,0.00001700
6000,Doubly Sorted,Delete,0.00000000
6000,Doubly Sorted,Max,0.00000000
6000,Doubly Sorted,Min,0.00000000
6000,Doubly Sorted,Predecessor,0.00000000
6000,Doubly Sorted,Successor,0.00000000
8000,Unsorted Array,Search,0.00001400
8000,Unsorted Array,Insert,0.00000000
8000,Unsorted Array,Delete,0.00000000
8000,Unsorted Array,Max,0.00002100
8000,Unsorted Array,Min,0.00001900
8000,Unsorted Array,Predecessor,0.00002400
8000,Unsorted Array,Successor,0.00001800
8000,Sorted Array,Search,0.00000000
8000,Sorted Array,Insert,0.00001900
8000,Sorted Array,Delete,0.00003600
8000,Sorted Array,Max,0.00000000
8000,Sorted Array,Min,0.00000000
8000,Sorted Array,Predecessor,0.00000000
8000,Sorted Array,Successor,0.00000000
8000,Singly Unsorted,Search,0.00002200
8000,Singly Unsorted,Insert,0.00000000
8000,Singly Unsorted,Delete,0.00003900
8000,Singly Unsorted,Max,0.00002000
8000,Singly Unsorted,Min,0.00002200
8000,Singly Unsorted,Predecessor,0.00002400
8000,Singly Unsorted,Successor,0.00002400
8000,Singly Sorted,Search,0.00002300
8000,Singly Sorted,Insert,0.00002000
8000,Singly Sorted,Delete,0.00001500
8000,Singly Sorted,Max,0.00000000
8000,Singly Sorted,Min,0.00000000
8000,Singly Sorted,Predecessor,0.00000700
8000,Singly Sorted,Successor,0.00000000
8000,Doubly Unsorted,Search,0.00002700
8000,Doubly Unsorted,Insert,0.00000000
8000,Doubly Unsorted,Delete,0.00000000
8000,Doubly Unsorted,Max,0.00002600
8000,Doubly Unsorted,Min,0.00002800
8000,Doubly Unsorted,Predecessor,0.00002900
8000,Doubly Unsorted,Successor,0.00003300
8000,Doubly Sorted,Search,0.00002700
8000,Doubly Sorted,Insert,0.00002600
