N,Algorithm,Time
10000,2-Way Merge Sort,0.00080000
10000,3-Way Merge Sort,0.00052000
20000,2-Way Merge Sort,0.00166000
20000,3-Way Merge Sort,0.00102000
30000,2-Way Merge Sort,0.00232000
30000,3-Way Merge Sort,0.00144000
40000,2-Way Merge Sort,0.00270000
40000,3-Way Merge Sort,0.00170000
50000,2-Way Merge Sort,0.00412000
50000,3-Way Merge Sort,0.00224000
60000,2-Way Merge Sort,0.00446000
60000,3-Way Merge Sort,0.00328000
70000,2-Way Merge Sort,0.00464000
70000,3-Way Merge Sort,0.00322000
80000,2-Way Merge Sort,0.00518000
80000,3-Way Merge Sort,0.00356000
90000,2-Way Merge Sort,0.00600000
90000,3-Way Merge Sort,0.00432000
100000,2-Way Merge Sort,0.00682000
100000,3-Way Merge Sort,0.00524000
