series,k,n,method1_time_ms,method2_time_ms
vary_k,2,400,0.003515,0.003889
vary_k,4,400,0.017273,0.014797
vary_k,8,400,0.086573,0.042922
vary_k,16,400,0.339245,0.410871
vary_k,32,400,1.080409,0.682758
vary_k,64,400,4.307808,1.626513
vary_k,96,400,9.682567,2.674389
vary_k,128,400,14.104700,3.573807
vary_k,160,400,18.904800,4.822427
vary_k,192,400,25.985750,5.878478
vary_k,224,400,38.386150,7.391629
vary_k,256,400,59.745100,9.745317
vary_n,64,50,0.447409,0.184777
vary_n,64,100,0.911118,0.379917
vary_n,64,200,1.796059,0.760519
vary_n,64,400,3.785657,1.475091
vary_n,64,800,8.503600,3.224906
vary_n,64,1600,14.262325,6.006544
vary_n,64,3200,37.227050,12.861575
vary_n,64,6400,67.336100,22.175167
